String,Applicant,Website,Location,Region,Primary Contact,Email,IDN?,A-Label,English Meaning,Script Code,Community?,Geographic?,Application ID
ابوظبي,Abu Dhabi Systems and Information Centre,,AE,AP,Mr. Khaled Habroot Al Mazrouei,khaled.almazrouei@adsic.abudhabi.ae,Yes,xn--mgbca7dzdo,Abu Dhabi – An Emirate of the United Arab Emirates,Arab,--,Yes,1-1925-2822
اتصالات,Emirates Telecommunications Corporation (trading as Etisalat),http://www.etisalat.com,AE,AP,Ms. Amy Repp,tas-etisalat-idn-primary@centralnic.com,Yes,xn--mgbaakc7dvf,"The word ""اتصالات."" is Applicant’s registered trademark used in 18 countries across Asia, the Middle East and Africa. ""اتصالات."" is also a word in Arabic language that means ""communications"".",Arab,--,--,1-1745-25333
ارامكو,Aramco Services Company,http://www.aramcoservices.com,US,NA,Cory Jones,cory@aramco.us,Yes,xn--mgba3a3ejt,Aramco,Arab,--,--,1-1961-53268
العليان,Olayan Investments Company Establishment,http://olayan.com,LI,EUR,Mike Rodenbaugh,OGtld1@rodenbaugh.com,Yes,xn--mgba7c0bbn0a,"14(b) Olayan is the family name of the founders of the applicant entity and group of companies, and a recognized brand for a wide variety of products and services offered throughout the world.",Arab,--,--,1-1017-64718
بازار,CORE Association,http://corenic.org,CH,EUR,Mr. Werner Staub,werner@axone.ch,Yes,xn--mgbab2bd,The string means 'bazaar' in English.,Arab,--,--,1-862-50853
بيتك,Kuwait Finance House,http://www.kfh.com,KW,AP,Amy Repp,tas-kfh-idn-primary@centralnic.com,Yes,xn--ngbe9e0a,"The string is used worldwide in relation to the services of the Applicant. The string has always been used as a short name for KFH in all publications. The meaning of the string is ""your own house"".",Arab,--,--,1-2100-57621
شبكة,International Domain Registry Pty. Ltd.,,AU,AP,Mr. Jeremy Scott Ebbels,jebbels@ariservices.com,Yes,xn--ngbc5azd,Web / Network,Arab,--,--,1-1926-49360
عرب,League of Arab States,http://www.arableagueonline.org,EG,AF,Mr. Mohammed At-Twaijri,aTLDcontact@las.int,Yes,xn--ngbrx,Arab,Arab,--,--,1-1346-36518
كاثوليك,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication),http://www.pccsva.org/,VA,EUR,Ms. Eloisa Romani,e.romani@pccs.va,Yes,xn--mgbi4ecexp,Catholic,Arab,Yes,--,1-1311-1455
كوم,VeriSign Sarl,http://www.verisigninc.com/en_CH/index.xhtml?loc=en_CH#/site_owners,CH,EUR,Ms. Sarah Elizabeth Langstone,SarahLangstoneVRSN@verisign.com,Yes,xn--fhbei,Transliteration of com,Arab,--,--,1-1254-25640
كيوتل,Qatar Telecom (Qtel),http://www.qtel.qa,QA,AP,Amy Repp,tas-qtel-idn-primary@centralnic.com,Yes,xn--pgb3ceoj,"تل is the brand name of Applicant, the primary telecommunications provider in Qatar. The designation is used throughout the country in relation to the services of the Applicant.",Arab,--,--,1-1928-24515
موبايلي,GreenTech Consultancy Company W.L.L.,http://www.greentechwll.com,BH,AP,Alan Bair,abairwd11@gmail.com,Yes,xn--mgbb9fbpob,Mobily,Arab,--,--,1-2115-92778
موزايك,Qatar Telecom (Qtel),http://www.qtel.qa,QA,AP,Amy Repp,tas-mosaic-idn-primary@centralnic.com,Yes,xn--mgbv6cfpo,"موزايك is a brand name of Applicant, the primary telecommunications provider in Qatar. The designation is used throughout the country in relation to the services of the Applicant.",Arab,--,--,1-1930-13222
موقع,Suhub Electronic Establishment,www.suhub.com.sa,SA,AP,John Kane,Jkane1@afilias.info,Yes,xn--4gbrim,Site,Arab,--,--,1-1013-15278
همراه,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.,,TR,AP,Mehdi Abbasnia,agitsys7@nsline.com,Yes,xn--mgbt3dhd,"Compeer, comrade, concomitant, along with, together with each other.",Arab,--,--,1-2134-95773
дети,The Foundation for Network Initiatives “The Smart Internet”,http://www.smartinternet.info/,RU,EUR,Ms. Olga Bocharova,obocharova@tcinet.ru,Yes,xn--d1acj3b,"kids, children",Cyrl,--,--,1-1193-2906
