formula,inchikey,mass,atom-count,bond-count,rotatable-bonds,tpsa,vabc,moriguchi-logp,rule-of-five-violations
C9H17NO4,QTUHDDYMPGCBGP-UHFFFAOYSA-N,203.23558,31,30,6.0,69.67,205.105069942,-3.03345530273,0
C9H18NO4,QTUHDDYMPGCBGP-UHFFFAOYSA-N,204.24352,32,31,6.0,66.84,206.423299293,-3.03345530273,0
C7H8O4,INCSWYKICIYAHB-UHFFFAOYSA-N,156.13602,19,19,1.0,77.76,144.523423081,-0.121257033808,0
C3H9NO,HXKKHQJGJAFBHI-UHFFFAOYSA-N,75.10966,14,13,1.0,46.25,80.2313994871,-0.533910640891,0
C3H8NO5P,HIQNVODXENYOFK-UHFFFAOYSA-N,169.073082,18,17,4.0,119.66,132.583100997,-3.17760180974,0
C6H3ClN2O4,QKQFISFJYSYSGI-UHFFFAOYSA-N,202.55202,16,16,2.0,91.64,148.25910924,2.5071220474,0
C7H9N5,MUIPLRMGAXZWSQ-UHFFFAOYSA-N,163.17986,21,22,1.0,69.62,127.553399918,1.57271392674,0
C6H12O4,PDGXJDXVGMHUIR-UHFFFAOYSA-N,148.15708,22,21,3.0,77.76,144.856814557,-0.270285563319,0
C6H13O9P,INAPMGSXUVUWAF-UHFFFAOYSA-N,260.135782,29,29,2.0,177.72,198.915201468,-4.46837938662,1
C20H23N7O7,AUFGTPPARQZWDO-UHFFFAOYSA-N,473.43932,57,59,11.0,219.84,407.751096469,0.297189152759,2
C2H4Cl2,WSLDOOZREJYCGB-UHFFFAOYSA-N,98.95916,8,7,1.0,0.0,73.5705634934,1.81696150723,0
C6H6O4,RDJUHLUBPADHNP-UHFFFAOYSA-N,142.10944,16,16,0.0,80.92,116.327438455,-0.214478142684,0
C6H3Cl3,PBKONEOXTCPAFI-UHFFFAOYSA-N,181.44702,12,12,0.0,0.0,126.799734964,4.06287528728,0
C20H32O5,VXPBDCBTMSKCKZ-UHFFFAOYSA-N,352.46508,57,57,14.0,91.67,375.524991217,2.11689405236,0
C19H30O2,NVKAWKQGWWIWPM-UHFFFAOYSA-N,290.4403,51,54,0.0,37.3,302.698326489,3.80322466477,0
