Gold,cc,ccevent,Silver,Event,Bronze
0,UZB,UZB_Judge,0,Judge,1
1,TRI,TRI_Track & Field,0,Track & Field,3
0,EGY,EGY_Fencing,1,Fencing,0
0,EGY,EGY_Wrestling,1,Wrestling,0
0,MDA,MDA_Weightlifting,0,Weightlifting,2
0,QAT,QAT_Track & Field,0,Track & Field,1
0,QAT,QAT_Shooting,0,Shooting,1
0,USA,USA_Archery,1,Archery,0
9,USA,USA_Track & Field,13,Track & Field,7
2,USA,USA_Basketball,0,Basketball,0
1,USA,USA_Beach Volleyball,1,Beach Volleyball,0
1,USA,USA_Boxing,0,Boxing,1
0,USA,USA_Cycling,2,Cycling,0
1,USA,USA_Diving,1,Diving,2
1,USA,USA_Soccer,0,Soccer,0
0,USA,USA_Fencing,0,Fencing,1
3,USA,USA_Gymnastics,1,Gymnastics,2
1,USA,USA_Judo,0,Judo,1
1,USA,USA_Rowing,0,Rowing,2
3,USA,USA_Shooting,0,Shooting,1
16,USA,USA_Swimming,9,Swimming,6
3,USA,USA_Tennis,0,Tennis,1
0,USA,USA_Taekwondo,0,Taekwondo,2
0,USA,USA_Volleyball,1,Volleyball,0
1,USA,USA_Water Polo,0,Water Polo,0
2,USA,USA_Wrestling,0,Wrestling,2
0,ARM,ARM_Weightlifting,0,Weightlifting,1
0,ARM,ARM_Wrestling,1,Wrestling,1
0,AZE,AZE_Boxing,0,Boxing,2
0,AZE,AZE_Weightlifting,0,Weightlifting,1
2,AZE,AZE_Wrestling,2,Wrestling,3
0,POR,POR_Canoe/Kayak,1,Canoe/Kayak,0
0,NED,NED_Cycling,0,Cycling,1
0,NED,NED_Equestrian,3,Equestrian,1
1,NED,NED_Gymnastics,0,Gymnastics,0
1,NED,NED_Field Hockey,1,Field Hockey,0
0,NED,NED_Judo,0,Judo,2
0,NED,NED_Rowing,0,Rowing,1
1,NED,NED_Sailing,1,Sailing,1
2,NED,NED_Swimming,1,Swimming,1
0,CYP,CYP_Sailing,1,Sailing,0
0,SWE,SWE_Equestrian,1,Equestrian,0
0,SWE,SWE_Handball,1,Handball,0
1,SWE,SWE_Sailing,0,Sailing,1
0,SWE,SWE_Shooting,1,Shooting,0
0,SWE,SWE_Triathlon,1,Triathlon,0
0,SWE,SWE_Wrestling,0,Wrestling,2
0,UKR,UKR_Track & Field,1,Track & Field,2
2,UKR,UKR_Boxing,1,Boxing,2
1,UKR,UKR_Canoe/Kayak,2,Canoe/Kayak,0
1,UKR,UKR_Fencing,0,Fencing,1
0,UKR,UKR_Gymnastics,0,Gymnastics,1
1,UKR,UKR_Rowing,0,Rowing,0
0,UKR,UKR_Shooting,0,Shooting,2
1,UKR,UKR_Weightlifting,0,Weightlifting,1
0,UKR,UKR_Wrestling,1,Wrestling,0
0,SUI,SUI_Cycling,1,Cycling,0
1,SUI,SUI_Equestrian,0,Equestrian,0
0,SUI,SUI_Tennis,1,Tennis,0
1,SUI,SUI_Triathlon,0,Triathlon,0
1,GRN,GRN_Track & Field,0,Track & Field,0
4,GBR,GBR_Track & Field,1,Track & Field,1
3,GBR,GBR_Boxing,1,Boxing,1
1,GBR,GBR_Canoe/Kayak,1,Canoe/Kayak,0
7,GBR,GBR_Cycling,1,Cycling,1
0,GBR,GBR_Diving,0,Diving,1
3,GBR,GBR_Equestrian,1,Equestrian,1
0,GBR,GBR_Gymnastics,1,Gymnastics,3
0,GBR,GBR_Field Hockey,0,Field Hockey,1
0,GBR,GBR_Judo,1,Judo,1
0,GBR,GBR_Modern Pentathlon,1,Modern Pentathlon,0
4,GBR,GBR_Rowing,2,Rowing,3
1,GBR,GBR_Sailing,4,Sailing,0
1,GBR,GBR_Shooting,0,Shooting,0
0,GBR,GBR_Swimming,1,Swimming,2
1,GBR,GBR_Tennis,1,Tennis,0
1,GBR,GBR_Taekwondo,0,Taekwondo,1
1,GBR,GBR_Triathlon,0,Triathlon,1
0,CAN,CAN_Track & Field,0,Track & Field,1
0,CAN,CAN_Canoe/Kayak,1,Canoe/Kayak,2
0,CAN,CAN_Cycling,0,Cycling,1
0,CAN,CAN_Diving,0,Diving,2
0,CAN,CAN_Soccer,0,Soccer,1
1,CAN,CAN_Trampoline,0,Trampoline,0
0,CAN,CAN_Judo,0,Judo,1
0,CAN,CAN_Rowing,2,Rowing,0
0,CAN,CAN_Swimming,1,Swimming,2
0,CAN,CAN_Weightlifting,0,Weightlifting,1
0,CAN,CAN_Wrestling,1,Wrestling,1
0,DEN,DEN_Badminton,1,Badminton,1
1,DEN,DEN_Cycling,0,Cycling,0
1,DEN,DEN_Rowing,1,Rowing,1
0,DEN,DEN_Sailing,1,Sailing,1
0,DEN,DEN_Shooting,1,Shooting,0
0,KUW,KUW_Shooting,0,Shooting,1
0,INA,INA_Weightlifting,1,Weightlifting,1
3,ETH,ETH_Track & Field,1,Track & Field,3
3,KOR,KOR_Archery,0,Archery,1
0,KOR,KOR_Badminton,0,Badminton,1
0,KOR,KOR_Boxing,1,Boxing,0
0,KOR,KOR_Soccer,0,Soccer,1
2,KOR,KOR_Fencing,1,Fencing,3
1,KOR,KOR_Gymnastics,0,Gymnastics,0
2,KOR,KOR_Judo,0,Judo,1
3,KOR,KOR_Shooting,2,Shooting,0
0,KOR,KOR_Swimming,2,Swimming,0
1,KOR,KOR_Taekwondo,1,Taekwondo,0
0,KOR,KOR_Table Tennis,1,Table Tennis,0
1,KOR,KOR_Wrestling,0,Wrestling,0
0,COL,COL_Track & Field,1,Track & Field,0
0,COL,COL_Cycling,1,Cycling,0
0,COL,COL_Judo,0,Judo,1
0,COL,COL_Taekwondo,0,Taekwondo,1
0,COL,COL_Weightlifting,1,Weightlifting,0
0,COL,COL_Wrestling,0,Wrestling,1
1,BAH,BAH_Track & Field,0,Track & Field,0
0,MGL,MGL_Boxing,1,Boxing,1
0,MGL,MGL_Judo,1,Judo,1
0,MGL,MGL_Wrestling,0,Wrestling,1
1,GER,GER_Track & Field,4,Track & Field,3
1,GER,GER_Beach Volleyball,0,Beach Volleyball,0
0,GER,GER_Canoe/Kayak,1,Canoe/Kayak,1
1,GER,GER_Cycling,1,Cycling,1
2,GER,GER_Equestrian,1,Equestrian,1
0,GER,GER_Fencing,1,Fencing,1
0,GER,GER_Gymnastics,3,Gymnastics,0
1,GER,GER_Field Hockey,0,Field Hockey,0
0,GER,GER_Judo,2,Judo,2
2,GER,GER_Rowing,1,Rowing,0
0,GER,GER_Swimming,1,Swimming,0
0,GER,GER_Taekwondo,0,Taekwondo,1
0,GER,GER_Table Tennis,0,Table Tennis,2
0,UZB,UZB_Boxing,0,Boxing,1
0,UZB,UZB_Judo,0,Judo,1
1,UZB,UZB_Wrestling,0,Wrestling,1
0,BEL,BEL_Judo,0,Judo,1
0,BEL,BEL_Sailing,0,Sailing,1
0,BEL,BEL_Shooting,1,Shooting,0
0,HKG,HKG_Cycling,0,Cycling,1
1,HUN,HUN_Track & Field,0,Track & Field,0
3,HUN,HUN_Canoe/Kayak,2,Canoe/Kayak,1
1,HUN,HUN_Fencing,0,Fencing,0
1,HUN,HUN_Gymnastics,0,Gymnastics,0
0,HUN,HUN_Judo,1,Judo,1
0,HUN,HUN_Modern Pentathlon,0,Modern Pentathlon,1
2,HUN,HUN_Swimming,0,Swimming,1
0,HUN,HUN_Wrestling,1,Wrestling,1
1,DOM,DOM_Track & Field,1,Track & Field,0
0,PUR,PUR_Track & Field,0,Track & Field,1
0,PUR,PUR_Wrestling,1,Wrestling,0
1,PRK,PRK_Judo,0,Judo,0
3,PRK,PRK_Weightlifting,0,Weightlifting,1
0,PRK,PRK_Wrestling,0,Wrestling,1
1,CRO,CRO_Track & Field,0,Track & Field,0
0,CRO,CRO_Handball,0,Handball,1
0,CRO,CRO_Rowing,1,Rowing,0
1,CRO,CRO_Shooting,0,Shooting,0
0,CRO,CRO_Taekwondo,0,Taekwondo,1
1,CRO,CRO_Water Polo,0,Water Polo,0
0,TPE,TPE_Taekwondo,0,Taekwondo,1
0,TPE,TPE_Weightlifting,1,Weightlifting,0
1,POL,POL_Track & Field,1,Track & Field,0
0,POL,POL_Canoe/Kayak,0,Canoe/Kayak,1
0,POL,POL_Rowing,0,Rowing,1
0,POL,POL_Sailing,0,Sailing,2
